What is the name of the final course of all 'Mario Kart' video games?,Rainbow Road,wrong,wrong,wrong
Mario originated as a character in which video game?,Donkey Kong,wrong,wrong,wrong
Solid Snake is the hero of the famous video game franchise?,The Metal Gear,wrong,wrong,wrong
Which famous video game franchise is the game 'V-Bucks' from?,Fortnite,wrong,wrong,wrong
Nintendo began as a company that sold which products?,Playing cards,wrong,wrong,wrong
What is Pearl's signature colour in 'Splatoon '?,Pink,wrong,wrong,wrong
'Astro Boy' is which type of video game?,Action,wrong,wrong,wrong
Which was the first Nintendo console for optical discs?,The GameCube,wrong,wrong,wrong
How many of overworlds are in 'Cuphead'?,Four,wrong,wrong,wrong
"In 'Call of Duty Advanced Warfare,' what's the name of Jack Mitchell's best friend?",Will Irons,wrong,wrong,wrong
Who is the first character you play in 'Injustice ?',Batman,wrong,wrong,wrong
What was the best selling video game in December ?,Call of Duty WWII,wrong,wrong,wrong
Who's on the cover of the video game 'Madden NFL '?,Tom Brady,wrong,wrong,wrong
'Fight Night ' is a game about what kind of sport?,Boxing,wrong,wrong,wrong
What was the first video game in the world called?,Pong,wrong,wrong,wrong
What is the highest grossing game of all time?,Pokémon,wrong,wrong,wrong
Which French video game company is publishing the 'Far Cry' series?,Ubisoft,wrong,wrong,wrong
‘Kingdom Of Hyrule’ is the main setting for which classic video game franchise?,The Legend Of Zelda,wrong,wrong,wrong
Who is the most famous video game character of all time?,Mario,wrong,wrong,wrong
"In the 'Pac-Man' video game, What's the name of the orange ghost?",Clyde,wrong,wrong,wrong
"What  game gives you the name, Douchebag?",South Park The Stick Of Truth,wrong,wrong,wrong
Which game developer has released four 'Game of The Year' games?,Todd Howard,wrong,wrong,wrong
What's the best selling video game console of all time?,PlayStation,wrong,wrong,wrong
What was Mario's first job?,Carpenter,wrong,wrong,wrong
In which game do players compete in the future version of soccer with cars?,Rocket League,wrong,wrong,wrong
Which game was published by GT Interactive in ?,Quake,wrong,wrong,wrong
When was the first 'Call Of Duty' video game released?,2003,wrong,wrong,wrong
What is the original first person video shooter game?,Wolfenstein D,wrong,wrong,wrong
Rangers tried to sign which superstar after Alex McLeish was alerted to his ability through the famous video game 'Football Manager'?,Lionel Messi,wrong,wrong,wrong
Piemonte Calcio represents which real life club in the 'FIFA ' video game?,Juventus,wrong,wrong,wrong
The most popular sports video game of all time is named after which former professional coach?,John Madden,wrong,wrong,wrong
"Alongside Universal Interactive Studios, who else developed 'Crash Bandicoot', the video game?",Naughty Dog,wrong,wrong,wrong
When was 'Super Smash Bros' released?,September,wrong,wrong,wrong
What is the canonical name of the protagonist in the 'Persona ' game?,Yu Narukami,wrong,wrong,wrong
What is the name of the circular object used to collect Pokémon?,Poke ball,wrong,wrong,wrong
Where's the best place to meet wild Pokémon?,In tall grass,wrong,wrong,wrong
What type of Pokémon is the Sand Shrew?,Ground type,wrong,wrong,wrong
How long did it take Markus Persson to make the first version of 'Minecraft',One week,wrong,wrong,wrong
What's a Charged Creeper?,A creeper that’s been struck by lightning,wrong,wrong,wrong
How do you make obsidian?,Mix water and lava,wrong,wrong,wrong
When was 'Minecraft' first released,October,wrong,wrong,wrong
When was 'Pong' released?,November ,wrong,wrong,wrong
What's the best selling video game of all time?,Minecraft,wrong,wrong,wrong
What year was the Super Nintendo Entertainment System (SNES) released?,1991,wrong,wrong,wrong
What was the best selling gaming console in alone?,Nintendo Switch,wrong,wrong,wrong
What year was Nintendo founded?,1889,wrong,wrong,wrong
Blizzard Entertainment is best known for which video game franchise?,World Of Warcraft,wrong,wrong,wrong
What video game company has been working with SONY on the PlayStation?,Nintendo,wrong,wrong,wrong
What does the name Nintendo mean?,Leave luck to heaven,wrong,wrong,wrong
What gaming console did the United States Air Force use to create a cluster supercomputer?,PlayStation,wrong,wrong,wrong
What kind of food was the character Pac Man modelled on?,Pizza,wrong,wrong,wrong
What was the name of the character that would later be known as Mario in the original arcade version of 'Donkey Kong'?,Jumpman,wrong,wrong,wrong
What's the best selling handheld gaming system to date?,Nintendo DS,wrong,wrong,wrong
What was the first character from a video game to have a balloon featured in the Macy's Parade?,Sonic the Hedgehog,wrong,wrong,wrong
What's the most expensive video game ever made?,Grand Theft Auto V,wrong,wrong,wrong
In what year was the first virtual reality headset created?,1995,wrong,wrong,wrong
Which crowdsource funding platform is responsible for the success of the 'Oculus Rift'?,kickstarter,wrong,wrong,wrong
How much did a virtual reality device cost in the '80s?,"$49,000 ",wrong,wrong,wrong
What's the name of the 's science fiction writer who predicted virtual reality?,Stanley Weinbaum,wrong,wrong,wrong
What year was the first prototype developed for a home-based video game console?,1967,wrong,wrong,wrong
Which company released the first simulator flight game?,Microsoft,wrong,wrong,wrong
Which popular dining franchise is Atari's founder responsible for?,Chuck E Cheese,wrong,wrong,wrong
What role did the creator of the Game Boy originally hold at Nintendo?,Janitor,wrong,wrong,wrong
What is the name of the fictional world that 'Super Mario Bros' is set in?,The Mushroom Kingdom,wrong,wrong,wrong
What was the first gaming console to have in-house memory?,Sega Saturn,wrong,wrong,wrong
In what game did the character Sonic appear for the first time?,Red Mobile,wrong,wrong,wrong
"The reference to the ""stolen sweet troll"" was a running joke with which game developer?",Bethesda Software,wrong,wrong,wrong
What was the original name of the gene bank in the game 'Bioshock?',Plasmi-Quick Response,wrong,wrong,wrong
What's the name of the planet that hosts the 'Gears Of War' game?,Sera,wrong,wrong,wrong
What was almost a 'Gears Of War' weapon choice that was abandoned over creative differences?,The Gun of Chainsaw,wrong,wrong,wrong
